date,shrub_num,aspect,tag_num,treatment,time_visited,pollinator_ID,plant_visited,cloud_cover,wind,start_time,end_time,notes
6/23/21,26,north,NaN,open,9:59:00,fly,GEUROS,25,<10,9:50:00,10:00:00,in notebook
6/24/21,NaN,north,NaN,shrub,9:03:00,bombus,SALIX,95,<10,8:55:00,9:05:00,not in plot
6/24/21,NaN,north,NaN,open,9:58:00,bombus,CASOCC,100,<10,9:54:00,10:04:00,"not in plot, but close"
6/30/21,47,south,NaN,shrub,10:09:00,fly,SALIX,25,<10,10:05:00,10:15:00,NaN
6/30/21,47,south,NaN,open,10:10:00,ant,PHLPUL,25,<10,10:05:00,10:15:00,NaN
6/30/21,30,south,NaN,open,10:30:00,hover fly,AREFEN,40,<10,10:22:00,10:32:00,NaN
6/30/21,49,south,NaN,shrub,10:47:00,fly,SALIX,40,<10,10:38:00,10:48:00,NaN
7/1/21,6,north,NaN,open,9:42:00,ant,LLOSER,50,<10,9:42:00,9:52:00,NaN
7/6/21,15,north,NaN,shrub,10:04:00,bombus,SALIX,10,<10,10:00:00,10:10:00,NaN
7/6/21,54,south,NaN,open,12:06:00,fly,SALIX,50,<10,11:57:00,12:07:00,NaN
7/6/21,44,south,NaN,open,12:13:00,fly,GEUROS,50,<10,12:12:00,12:22:00,NaN
7/6/21,44,south,NaN,open,12:14:00,fly,GEUROS,50,<10,12:12:00,12:22:00,NaN
7/6/21,44,south,NaN,open,12:17:00,fly,GEUROS,50,<10,12:12:00,12:22:00,NaN
7/6/21,44,south,NaN,shrub,12:19:00,hover fly,SAXROH,50,<10,12:12:00,12:22:00,NaN
7/6/21,33,south,NaN,shrub,12:33:00,ant,TETACA,70,<10,12:30:00,12:40:00,NaN
7/6/21,49,south,NaN,shrub,12:42:00,fly,POTGLA,60,<10,12:42:00,12:52:00,NOT GEUROS
7/6/21,49,south,NaN,shrub,12:43:00,fly,POTGLA,60,<10,12:42:00,12:52:00,NaN
7/6/21,49,south,NaN,shrub,12:43:00,fly,ERISIM,60,<10,12:42:00,12:52:00,NaN
7/6/21,49,south,NaN,shrub,12:44:00,fly,POTGLA,60,<10,12:42:00,12:52:00,NaN
7/6/21,49,south,NaN,shrub,12:45:00,fly,ERISIM,60,<10,12:42:00,12:52:00,NaN
7/6/21,49,south,NaN,shrub,12:45:00,fly,SALIX,60,<10,12:42:00,12:52:00,NaN
7/6/21,49,south,NaN,shrub,12:46:00,fly,SALIX,60,<10,12:42:00,12:52:00,NaN
7/6/21,49,south,NaN,shrub,12:46:00,hover fly,SALIX,60,<10,12:42:00,12:52:00,NaN
7/6/21,49,south,NaN,shrub,12:47:00,fly,SALIX,60,<10,12:42:00,12:52:00,NaN
7/6/21,49,south,NaN,open,12:51:00,fly,GEUROS,60,<10,12:42:00,12:52:00,NaN
7/8/21,6,north,NaN,open,10:28:00,fly,DRASTR,5,<10,10:24:00,10:34:00,NaN
7/8/21,27,north,NaN,shrub,10:44:00,fly,SALIX,5,10 to 20,10:38:00,10:48:00,NaN
7/8/21,27,north,NaN,shrub,10:45:00,fly,ERISIM,5,10 to 20,10:38:00,10:48:00,NaN
7/8/21,27,north,NaN,shrub,10:46:00,ant,SALIX,5,10 to 20,10:38:00,10:48:00,NaN
7/8/21,49,south,NaN,shrub,12:38:00,fly,POTGLA,50,<10,12:31:00,12:41:00,NaN
7/8/21,49,south,NaN,shrub,12:40:00,fly,SALIX,50,<10,12:31:00,12:41:00,NaN
7/8/21,47,south,NaN,open,13:08:00,ant,MINOBT,70,<10,13:07:00,13:17:00,NaN
7/13/21,33,south,NaN,open,12:58:00,fly,TETACA,50,10 to 20,12:53:00,13:03:00,NaN
7/13/21,49,south,NaN,shrub,13:00:00,bee,TETACA,50,10 to 20,13:23:00,13:33:00,NaN
7/13/21,49,south,NaN,shrub,13:28:00,fly,POTGLA,75,10 to 20,13:23:00,13:33:00,NaN
7/21/21,44,south,NaN,shrub,8:23:00,hover fly,SOLMUL,95,<10,8:23:00,8:33:00,NaN
7/21/21,44,south,NaN,shrub,8:32:00,fly,AREFEN,95,<10,8:23:00,8:33:00,NaN
7/21/21,6,south,NaN,open,9:15:00,fly,AREFEN,100,<10,9:14:00,9:24:00,NaN
7/21/21,27,south,NaN,open,9:38:00,bombus,AREFEN,100,<10,9:36:00,9:46:00,NaN
7/21/21,33,south,NaN,shrub,11:11:00,fly,MINOBT,60,<10,11:10:00,11:20:00,NaN
7/21/21,30,south,NaN,shrub,12:37:00,hover fly,AREFEN,50,<10,12:11:00,12:21:00,NaN
7/27/21,6,north,NaN,open,9:50:00,fly,AREFEN,0,<10,9:42:00,9:52:00,NaN
7/27/21,27,north,NaN,shrub,10:06:00,hover fly,AREFEN,0,<10,10:02:00,10:12:00,NaN
7/27/21,27,north,NaN,shrub,10:07:00,hover fly,AREFEN,0,<10,10:02:00,10:12:00,NaN
7/27/21,27,north,NaN,shrub,10:09:00,hover fly,AREFEN,0,<10,10:02:00,10:12:00,NaN
7/27/21,27,north,NaN,shrub,10:10:00,hover fly,AREFEN,0,<10,10:02:00,10:12:00,NaN
7/27/21,33,south,NaN,open,13:03:00,fly,CAMROT,0,<10,12:57:00,13:07:00,NaN
7/27/21,47,south,NaN,shrub,13:49:00,fly,SOLMUL,0,<10,13:47:00,13:57:00,NaN
7/27/21,47,south,NaN,shrub,13:50:00,bee,SOLMUL,0,<10,13:47:00,13:57:00,NaN
7/27/21,47,south,NaN,shrub,13:51:00,bombus,SOLMUL,0,<10,13:47:00,13:57:00,NaN
7/27/21,47,south,NaN,shrub,13:51:00,bee,SOLMUL,0,<10,13:47:00,13:57:00,NaN
7/27/21,47,south,NaN,shrub,13:57:00,bee,SOLMUL,0,<10,13:47:00,13:57:00,NaN
7/28/21,44,south,NaN,shrub,8:53:00,hover fly,AREFEN,0,<10,8:43:00,8:53:00,NaN
7/28/21,44,south,NaN,shrub,8:53:00,hover fly,AREFEN,0,<10,8:43:00,8:53:00,NaN
7/28/21,5,north,NaN,shrub,9:32:00,bombus,AREFEN,0,<10,9:28:00,9:38:00,NaN
7/28/21,49,south,NaN,shrub,12:53:00,fly,AREFEN,50,<10,12:48:00,12:58:00,NaN
7/28/21,49,south,NaN,open,12:54:00,fly,AREFEN,50,<10,12:48:00,12:58:00,NaN
7/28/21,49,south,NaN,shrub,13:14:00,hover fly,ERIPIN,50,<10,13:06:00,13:16:00,NaN
7/28/21,49,south,NaN,open,13:14:00,fly,AREFEN,50,<10,13:06:00,13:16:00,NaN
7/28/21,49,south,NaN,open,13:15:00,fly,AREFEN,50,<10,13:06:00,13:16:00,NaN
7/28/21,47,south,NaN,shrub,13:26:00,bombus,SOLMUL,50,<10,13:25:00,13:35:00,NaN
7/28/21,47,south,NaN,shrub,13:30:00,hover fly,SOLMUL,50,<10,13:25:00,13:35:00,NaN
7/28/21,47,south,NaN,shrub,13:32:00,fly,SOLMUL,50,<10,13:25:00,13:35:00,NaN